MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DAY,SEXDSTN_FLAG_CD,MESURE_IEM_001_VALUE,MESURE_IEM_002_VALUE,MESURE_IEM_003_VALUE,MESURE_IEM_004_VALUE,MESURE_IEM_005_VALUE,MESURE_IEM_006_VALUE,MESURE_IEM_007_VALUE,MESURE_IEM_008_VALUE,MESURE_IEM_009_VALUE,MESURE_IEM_010_VALUE,MESURE_IEM_012_VALUE,MESURE_IEM_013_VALUE,MESURE_IEM_014_VALUE,MESURE_IEM_015_VALUE,MESURE_IEM_016_VALUE,MESURE_IEM_017_VALUE,MESURE_IEM_018_VALUE,MESURE_IEM_019_VALUE,MESURE_IEM_020_VALUE,MESURE_IEM_021_VALUE,MESURE_IEM_022_VALUE,MESURE_IEM_023_VALUE,MESURE_IEM_024_VALUE,MESURE_IEM_025_VALUE,MESURE_IEM_026_VALUE,MESURE_IEM_027_VALUE,MESURE_IEM_028_VALUE,MESURE_IEM_029_VALUE,MESURE_IEM_030_VALUE,MESURE_IEM_031_VALUE,MESURE_IEM_032_VALUE,MESURE_IEM_033_VALUE,MESURE_IEM_034_VALUE,MESURE_IEM_035_VALUE,MESURE_IEM_036_VALUE,MESURE_IEM_037_VALUE,MESURE_IEM_038_VALUE,MESURE_IEM_039_VALUE,MESURE_IEM_040_VALUE,MESURE_IEM_041_VALUE,MESURE_IEM_042_VALUE,MESURE_IEM_043_VALUE,MESURE_IEM_044_VALUE,MESURE_IEM_050_VALUE,MESURE_IEM_051_VALUE,MESURE_IEM_052_VALUE
"1","광산","유소년","출장","11","관리자","2등급","20240701","M","154.6","37.3",,"62.3",,,"23.2","20.7","41",,"9.8",,,,,,"15.6",,"140",,"192",,,,,,"62.2",,,,,,,,,,,,,,"0.40","28","1",,,
"1","세종","청소년","출장","15","관리자","참가","20240701","M","166.7","61.4","23.5",,"77","118","30","32",,"52","6.3","21.1","0.539","45.226","11","45.732","22.1",,"32",,"212",,,,,,"52.1",,"41.0",,,,,,,,,,,,,,,,,
"2","세종","청소년","출장","16","관리자","참가","20240701","M","169.4","40.6","9.9",,"76","119","28.6","29.8",,"53","-6.4","16.6","0.626","40.399","13","40.997","14.1",,"54",,"230",,,,,,"73.4",,"49.6",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","참가","20240701","M","140.4","34.4",,"67",,,"16.2","19.3","16",,"8.8",,,,,,"17.5",,"102",,"175",,,,,,"56.1",,,,,,,,,,,,,,"0.48","22","4",,,
"1","세종","청소년","출장","15","관리자","참가","20240701","F","166.5","60.8","33.2",,"79","120","22.3","25.5",,"30","5.7","23.8","0.415","44.979","16","45.715","21.9",,"25",,"160",,,,,,"41.9",,"34.8",,,,,,,,,,,,,,,,,
"1","세종","청소년","출장","16","관리자","참가","20240701","M","176.3","52.2","13.4",,"74","120","21.9","30.7",,"38","4","19.1","0.563","47.598","17","48.380","16.8",,"32",,"195",,,,,,"58.8",,"43.9",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","12","관리자","참가","20240701","F","153.2","48.3",,"73",,,"23.2","24.1","30",,"6.4",,,,,,"20.6",,,,"190",,,,,,"49.9",,,,,,,,,,,,,,"0.48","21","12",,,
"1","세종","청소년","출장","16","관리자","참가","20240701","M","160","64.7","42",,"67","122","24.9","25.2",,"21","8","23.3","0.427","41.189","14","41.833","25.3",,"11",,"140",,,,,,"38.9",,"35.3",,,,,,,,,,,,,,,,,
"1","사상","청소년","출장","16","관리자","2등급","20240701","F","157.9","55.9","29.7",,"80","124","31.3","33.7",,"47","26.5","21.86","0.411","45.628","10","46.088","22.4",,"30",,"171",,,,,,"60.3",,"35.6",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","2등급","20240701","M","148.5","43.8",,"75",,,"26.8","26.2","38",,"14.7",,,,,,"19.9",,"60",,"185",,,,,,"61.2",,,,,,,,,,,,,,"0.51","35","11",,,
"1","사상","청소년","출장","15","관리자","참가","20240701","F","166.8","56.7","34.9",,"75","116","23","22.3",,"24","7.6","24.4","0.353","62.685","10","63.145","20.4",,"18",,"115",,,,,,"40.6",,"34.2",,,,,,,,,,,,,,,,,
"1","세종","청소년","출장","16","관리자","2등급","20240701","M","169.5","69.7","14.1",,"76","116","55.3","63",,"65","9.2","16.3","0.66","48.381","11","48.887","24.3",,"80",,"260",,,,,,"90.4",,"49.3",,,,,,,,,,,,,,,,,
"1","세종","청소년","출장","16","관리자","참가","20240701","F","157.7","49.6","34",,"81","122","14.8","20.5",,"20","6","25.3","0.452","49.787","12","50.339","19.9",,"21",,"135",,,,,,"41.3",,"35.1",,,,,,,,,,,,,,,,,
"1","사상","청소년","출장","16","관리자","참가","20240701","F","153.3","42.3","28.8",,"76","118","22.7","24.6",,"13","-4","22.8","0.414","65.263","8","65.631","18.0",,"33",,"152",,,,,,"58.2",,"38.5",,,,,,,,,,,,,,,,,
"1","세종","청소년","출장","15","관리자","2등급","20240701","M","180.4","64.5","15",,"72","117","37.9","45.1",,"57","11.2","16.5","0.614","43.086","13","43.684","19.8",,"51",,"232",,,,,,"69.9",,"45.9",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","3등급","20240701","M","143.5","38.4",,"65",,,"17","20.4","40",,"6.9",,,,,,"18.6",,"101",,"200",,,,,,"53.1",,,,,,,,,,,,,,"0.45","31","3",,,
"1","세종","청소년","출장","16","관리자","2등급","20240701","M","161.8","56.4","15",,"81","122","34","36.8",,"62","12.6","16","0.713","47.727","9","48.141","21.5",,"73",,"258",,,,,,"65.2",,"49.4",,,,,,,,,,,,,,,,,
"1","사상","청소년","출장","16","관리자","참가","20240701","M","162.9","51.4","17.1",,"78","119","31.7","34.4",,"29","25.6","21.8","0.486","48.974","4","49.158","19.4",,"31",,"160",,,,,,"66.9",,"42.3",,,,,,,,,,,,,,,,,
"1","세종","청소년","출장","16","관리자","참가","20240701","M","166.8","74.5","28.5",,"84","139","36.9","54.1",,"54","-2.7","16.73","0.576","44.730","7","45.052","26.8",,"41",,"221",,,,,,"72.6",,"40.4",,,,,,,,,,,,,,,,,
"1","사상","청소년","출장","15","관리자","참가","20240701","F","156.9","47.5","30.8",,"79","121","24.1","21.6",,"22","16","28.38","0.407","70.146","9","70.560","19.3",,"10",,"120",,,,,,"50.7",,"33.2",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","참가","20240701","F","147.3","33.6",,"66",,,"14.4","15.4","15",,"4",,,,,,"15.5",,"47",,"98",,,,,,"45.8",,,,,,,,,,,,,,"0.45","14","0",,,
"1","세종","청소년","출장","16","관리자","3등급","20240701","F","155.3","46.8","26.4",,"68","122","17","17.3",,"51","19.9","21.1","0.464","67.084","15","67.774","19.4",,"31",,"135",,,,,,"37.0",,"37.4",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","참가","20240701","M","152.9","60.5",,"87",,,"29.7","28.2","20",,"7.3",,,,,,"25.9",,"51",,"157",,,,,,"49.1",,,,,,,,,,,,,,"0.57","25","12",,,
"1","사상","청소년","출장","15","관리자","참가","20240701","F","154","79.4","46.3",,"85","127",,"25.1",,"11","0","28.81","0.355","62.505","10","62.965","33.5",,"9",,"90",,,,,,"31.6",,"25.6",,,,,,,,,,,,,,,,,
"2","광산","유소년","출장","12","관리자","2등급","20240701","F","136.8","27.7",,"54",,,"18.3","17.3","30",,"24.8",,,,,,"14.8",,"97",,"170",,,,,,"66.1",,,,,,,,,,,,,,"0.39","30","2",,,
"1","사상","청소년","출장","16","관리자","참가","20240701","M","168.1","99.6","35.2",,"86","134","36.9","45.6",,"34","13.7","19.9","0.559","54.326","4","54.510","35.2",,"32",,"180",,,,,,"45.8",,"34.2",,,,,,,,,,,,,,,,,
"1","세종","청소년","출장","15","관리자","3등급","20240701","F","161.4","49.5","24.9",,"79","13","22.3","27.6",,"41","12.9","19.2","0.514","49.244","6","49.520","19.0",,"23",,"177",,,,,,"55.8",,"35.9",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","참가","20240701","M","159.7","46.5",,"71.6",,,"21.8","23.2","26",,"3",,,,,,"18.2",,"80",,"125",,,,,,"49.9",,,,,,,,,,,,,,"0.45","30","0",,,
"1","사상","청소년","출장","15","관리자","참가","20240701","M","164.4","41.9","12.9",,"76","117","22.4","20.6",,"26","-20","23.46","0.462","61.375","7","61.697","15.5",,"32",,"135",,,,,,"53.5",,"44.5",,,,,,,,,,,,,,,,,
"1","사상","청소년","출장","15","관리자","참가","20240701","F","161.2","56.4","42.7",,"80","121","19.4","19.8",,"29","-7","25.59","0.393","54.942","9","55.356","21.7",,"8",,"90",,,,,,"35.1",,"31.6",,,,,,,,,,,,,,,,,
"1","세종","청소년","출장","16","관리자","참가","20240701","F","164.7","57.5","33.1",,"74","118","21.1","21.2",,"28","16","24.8","0.278","49.228","10","49.688","21.2",,"12",,"120",,,,,,"36.9",,"32.7",,,,,,,,,,,,,,,,,
"1","세종","청소년","출장","16","관리자","참가","20240701","F","160.6","51.6","32.6",,"72","117","20.5","22.6",,"27","22","25.2","0.415","57.483","7","57.805","20.0",,"15",,"105",,,,,,"43.8",,"33.9",,,,,,,,,,,,,,,,,
"1","사상","청소년","출장","16","관리자","참가","20240701","M","179.1","81.8","27.9",,"84","128","36.4","40",,"33","29.4","20.2","0.507","47.645","8","48.013","25.5",,"39",,"178",,,,,,"48.9",,"40.7",,,,,,,,,,,,,,,,,
"2","광산","유소년","출장","11","관리자","3등급","20240701","M","156.1","39.3",,"63.2",,,"17.7","19.2","24",,"9",,,,,,"16.1",,"121",,"195",,,,,,"48.9",,,,,,,,,,,,,,"0.40","33","13",,,
"1","사상","청소년","출장","15","관리자","참가","20240701","M","170.4","84.9","30.7",,"84","125","48.7","49",,"35","3","23.6","0.503","61.730","6","62.006","29.2",,"10",,"175",,,,,,"57.7",,"33.0",,,,,,,,,,,,,,,,,
"1","세종","청소년","출장","15","관리자","참가","20240701","M","169.7","50.9","12.3",,"79","124","28.3","34.1",,"51","11.8","18.8","0.628","61.330","11","61.836","17.7",,"32",,"236",,,,,,"67.0",,"43.3",,,,,,,,,,,,,,,,,
"1","세종","청소년","출장","16","관리자","3등급","20240701","M","173.1","53.5","12.4",,"79","120","32.8","39",,"51","19.3","19.8","0.725","48.177","10","48.637","17.9",,"38",,"245",,,,,,"72.9",,"44.5",,,,,,,,,,,,,,,,,
"1","사상","청소년","출장","15","관리자","참가","20240701","F","156.6","71.2","43",,"86","125","26.9","29.7",,"34","4.5","24.2","0.452","59.127","11","59.633","29.0",,"12",,"147",,,,,,"41.7",,"28.5",,,,,,,,,,,,,,,,,
"1","사상","청소년","출장","15","관리자","참가","20240701","F","159.1","65.3","36.7",,"88","129","31.9","36.7",,"24","19.7","23.5","0.425","46.644","25","47.794","25.8",,"11",,"125",,,,,,"56.2",,"30.0",,,,,,,,,,,,,,,,,
